"pre","result","stock.price","stock.time","stock.code","stock.name","stock.date","trade","strategy","strategy.b","strategy.s"
"0","1",16.41,"2016-09-01 15:15:00","600000.SH","浦发银行",2016-09-01,-1,0,0,0
"0",NA,16.48,"2016-09-02 15:15:00","600000.SH","浦发银行",2016-09-02,-1,0,0,0
"0","0",16.49,"2016-09-05 15:15:00","600000.SH","浦发银行",2016-09-05,-1,0,0,0
"0","1",16.41,"2016-09-06 15:15:00","600000.SH","浦发银行",2016-09-06,-1,0,0,0
"0","1",16.48,"2016-09-07 15:15:00","600000.SH","浦发银行",2016-09-07,-1,0,0,0
"0","0",16.6,"2016-09-08 15:15:00","600000.SH","浦发银行",2016-09-08,-1,0,0,0
"0","0",16.56,"2016-09-09 15:15:00","600000.SH","浦发银行",2016-09-09,-1,0,0,0
"0","1",16.4,"2016-09-12 15:15:00","600000.SH","浦发银行",2016-09-12,-1,0,0,0
"0","0",16.45,"2016-09-13 15:15:00","600000.SH","浦发银行",2016-09-13,-1,0,0,0
"0","1",16.4,"2016-09-14 15:15:00","600000.SH","浦发银行",2016-09-14,-1,0,0,0
"0",NA,16.46,"2016-09-19 15:15:00","600000.SH","浦发银行",2016-09-19,-1,0,0,0
"0",NA,16.46,"2016-09-20 15:15:00","600000.SH","浦发银行",2016-09-20,-1,0,0,0
"0","1",16.45,"2016-09-21 15:15:00","600000.SH","浦发银行",2016-09-21,-1,0,0,0
"0","0",16.53,"2016-09-22 15:15:00","600000.SH","浦发银行",2016-09-22,-1,0,0,0
"0",NA,16.48,"2016-09-23 15:15:00","600000.SH","浦发银行",2016-09-23,-1,0,0,0
"0",NA,16.48,"2016-09-26 15:15:00","600000.SH","浦发银行",2016-09-26,-1,0,0,0
"0",NA,16.48,"2016-09-27 15:15:00","600000.SH","浦发银行",2016-09-27,-1,0,0,0
"0",NA,16.48,"2016-09-28 15:15:00","600000.SH","浦发银行",2016-09-28,-1,0,0,0
"0",NA,16.5,"2016-09-29 15:15:00","600000.SH","浦发银行",2016-09-29,-1,0,0,0
"0","1",16.49,"2016-09-30 15:15:00","600000.SH","浦发银行",2016-09-30,-1,0,0,0
"0",NA,16.55,"2016-10-10 15:15:00","600000.SH","浦发银行",2016-10-10,-1,0,0,0
"0","0",16.57,"2016-10-11 15:15:00","600000.SH","浦发银行",2016-10-11,-1,0,0,0
"0","0",16.51,"2016-10-12 15:15:00","600000.SH","浦发银行",2016-10-12,-1,0,0,0
"0",NA,16.43,"2016-10-13 15:15:00","600000.SH","浦发银行",2016-10-13,-1,0,0,0
"0","0",16.46,"2016-10-14 15:15:00","600000.SH","浦发银行",2016-10-14,-1,0,0,0
"0","1",16.27,"2016-10-17 15:15:00","600000.SH","浦发银行",2016-10-17,-1,0,0,0
"0","0",16.34,"2016-10-18 15:15:00","600000.SH","浦发银行",2016-10-18,-1,0,0,0
"0",NA,16.27,"2016-10-19 15:15:00","600000.SH","浦发银行",2016-10-19,-1,0,0,0
"0",NA,16.29,"2016-10-20 15:15:00","600000.SH","浦发银行",2016-10-20,-1,0,0,0
"0","1",16.3,"2016-10-21 15:15:00","600000.SH","浦发银行",2016-10-21,-1,0,0,0
"0","0",16.47,"2016-10-24 15:15:00","600000.SH","浦发银行",2016-10-24,-1,0,0,0
"0","0",16.42,"2016-10-25 15:15:00","600000.SH","浦发银行",2016-10-25,-1,0,0,0
"0","0",16.32,"2016-10-26 15:15:00","600000.SH","浦发银行",2016-10-26,-1,0,0,0
"0","1",16.19,"2016-10-27 15:15:00","600000.SH","浦发银行",2016-10-27,-1,0,0,0
"0",NA,16.29,"2016-10-28 15:15:00","600000.SH","浦发银行",2016-10-28,-1,0,0,0
"0",NA,16.27,"2016-10-31 15:15:00","600000.SH","浦发银行",2016-10-31,-1,0,0,0
"0","0",16.3,"2016-11-01 15:15:00","600000.SH","浦发银行",2016-11-01,-1,0,0,0
"0","1",16.2,"2016-11-02 15:15:00","600000.SH","浦发银行",2016-11-02,-1,0,0,0
"0","1",16.35,"2016-11-03 15:15:00","600000.SH","浦发银行",2016-11-03,-1,0,0,0
"0",NA,16.4,"2016-11-04 15:15:00","600000.SH","浦发银行",2016-11-04,-1,0,0,0
"0","1",16.42,"2016-11-07 15:15:00","600000.SH","浦发银行",2016-11-07,-1,0,0,0
"0",NA,16.47,"2016-11-08 15:15:00","600000.SH","浦发银行",2016-11-08,-1,0,0,0
