"stock.code","name","date","time","open","high","low","close","volumw","turover","match_items","interest"
"600000.SH","浦发银行",20110530,151500000,74502,75648,74065,75321,32773527,450312960,11568,0
"600000.SH","浦发银行",20110531,151500000,75375,75703,74447,75648,54862272,754258690,15073,0
"600000.SH","浦发银行",20110601,151500000,75321,75757,74720,74993,43373105,597661110,13180,0
"600000.SH","浦发银行",20110602,151500000,74229,74502,71336,72100,78054220,1039092740,31371,0
"600000.SH","浦发银行",20110603,151500000,71957,72819,71813,72459,38481953,387260330,16580,0
"600000.SH","浦发银行",20110607,151500000,72100,72747,71670,72531,32112692,322851670,14754,0
"600000.SH","浦发银行",20110608,151500000,72603,72675,70233,71239,71399603,705901470,25509,0
"600000.SH","浦发银行",20110609,151500000,71095,71095,69443,69587,50650154,494816800,24054,0
"600000.SH","浦发银行",20110610,151500000,69731,70377,69515,69946,41514189,403650860,13954,0
"600000.SH","浦发银行",20110613,151500000,69659,70592,69084,70305,33499528,325257130,16154,0
"600000.SH","浦发银行",20110614,151500000,70233,72100,69874,71239,59763717,594459880,19802,0
"600000.SH","浦发银行",20110615,151500000,71095,71095,69587,69802,50642541,494521260,20248,0
"600000.SH","浦发银行",20110616,151500000,69443,69731,68869,69012,43684110,420806030,15946,0
"600000.SH","浦发银行",20110617,151500000,69012,69587,68582,68653,38151775,367427550,12608,0
"600000.SH","浦发银行",20110620,151500000,68582,69443,68294,69300,49155845,471826230,12094,0
"600000.SH","浦发银行",20110621,151500000,69371,69802,69156,69515,44032371,426182660,11420,0
"600000.SH","浦发银行",20110622,151500000,69874,69874,68725,69156,44402682,428768700,10922,0
"600000.SH","浦发银行",20110623,151500000,69084,70305,68222,69946,51462993,496177920,15794,0
"600000.SH","浦发银行",20110624,151500000,69587,73106,69443,72531,108608292,1083590770,33114,0
"600000.SH","浦发银行",20110627,151500000,72531,73321,71813,72316,61879841,624566430,18111,0
"600000.SH","浦发银行",20110628,151500000,72316,72388,71023,71813,48625916,485148830,13862,0
"600000.SH","浦发银行",20110629,151500000,71813,72100,69946,70090,92115792,906629860,25434,0
"600000.SH","浦发银行",20110630,151500000,70233,71598,69946,70664,89477914,880212560,22102,0
"600000.SH","浦发银行",20110701,151500000,70736,70808,69300,69946,84950358,829257820,25476,0
"600000.SH","浦发银行",20110704,151500000,70305,72675,70233,72531,137704167,1372265440,37525,0
"600000.SH","浦发银行",20110705,151500000,72531,73106,71741,72172,79844236,803065820,20051,0
"600000.SH","浦发银行",20110706,151500000,71885,71885,70377,71239,78083396,771582180,25814,0
"600000.SH","浦发银行",20110707,151500000,72459,72890,71095,71310,110306181,1107281010,29555,0
"600000.SH","浦发银行",20110708,151500000,71454,73608,71310,72819,96178652,973144630,32166,0
"600000.SH","浦发银行",20110711,151500000,72172,72747,71526,72172,77297565,774789740,17974,0
"600000.SH","浦发银行",20110712,151500000,71598,71957,70664,70951,73779698,730710120,23480,0
"600000.SH","浦发银行",20110713,151500000,71310,72388,70880,71885,60517246,605053180,15727,0
"600000.SH","浦发银行",20110714,151500000,71813,72531,71598,72531,72244581,725394110,16547,0
"600000.SH","浦发银行",20110715,151500000,72172,72819,71741,72459,66656003,672068530,14659,0
"600000.SH","浦发银行",20110718,151500000,72531,72531,71310,71813,88296134,883661210,19145,0
"600000.SH","浦发银行",20110719,151500000,71382,71526,70521,70736,77790440,768616580,22459,0
"600000.SH","浦发银行",20110720,151500000,71095,71382,70161,70664,63761031,626819360,18669,0
"600000.SH","浦发银行",20110721,151500000,70592,70736,69228,69874,73648903,716204440,21139,0
"600000.SH","浦发银行",20110722,151500000,70018,70233,69443,69659,52488395,509417130,15032,0
"600000.SH","浦发银行",20110725,151500000,69300,69443,67289,67720,88189088,838678390,32722,0
"600000.SH","浦发银行",20110726,151500000,67720,68582,67361,67648,45125010,426214460,14890,0
"600000.SH","浦发银行",20110727,151500000,67361,67648,67145,67433,48213160,452508630,18344,0
"600000.SH","浦发银行",20110728,151500000,67002,67073,65709,66212,65663811,605993960,24516,0
"600000.SH","浦发银行",20110729,151500000,66427,69012,65565,67504,95487760,894864390,28643,0
"600000.SH","浦发银行",20110801,151500000,67002,67935,66571,66930,44930056,420409950,13876,0
